Document Name,Document Path,Question
RIS Services Policies.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS Services Policies.md,"What is the difference between my $HOME directory, scratch space, and the storage platform, and which should I use for my important data?"
RIS User Documentation.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS User Documentation.md,I'm not comfortable with the command line. Is there a graphical interface I can use to run jobs?
RIS User Documentation.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS User Documentation.md,"How do I find and use a specific software application, like R or Python, on the compute platform?"
RIS User Documentation.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS User Documentation.md,How can I connect to my RIS storage folder from my personal Windows or Mac computer?
SSH Private-Public Key Pair.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\SSH Private-Public Key Pair.md,How do I perform these steps on a Windows computer?
SSH Private-Public Key Pair.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\SSH Private-Public Key Pair.md,I already have a default SSH key (`~/.ssh/id_rsa`). Can I use that one instead of creating a new one?
SSH Private-Public Key Pair.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\SSH Private-Public Key Pair.md,"I followed all the steps, but I'm still being prompted for my password when I connect. What could be wrong?"
Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms.md,My storage quota seems wrong when I check it from the compute cluster. How do I get an accurate report of my remaining space?
Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms.md,"How can I set up a folder for my project that specific people can write to, while others only have read-only access?"
Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms.md,What is the recommended way to move my data from the Active tier to the Archive tier for long-term storage?
Compute1 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications.md,What is the difference between a THPC installed application and an RIS developed container?
Compute1 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications.md,How do I use or load one of the applications listed here?
Compute1 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications.md,What if the software I need is not on either of these lists?
Compute2 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications.md,"How do I load one of the listed applications, like Python or R, into my environment?"
Compute2 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications.md,"How can I see all the available versions for a specific module, like gcc or Python?"
Compute2 Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications.md,What is the process for requesting new software that is not included on this list?
Non-RIS Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Non-RIS Docker Images.md,Why are these non-RIS images provided if the document recommends using the more secure RIS-hosted images?
Non-RIS Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Non-RIS Docker Images.md,"The document lists a specific version for an application, but I need to use a different one. How do I modify the command to pull another version?"
Non-RIS Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Non-RIS Docker Images.md,"I copied an example command, but it's not working. What do I need to replace `${group_name}` with?"
RIS Developed Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers.md,How do I access and run one of the RIS-maintained Docker images?
RIS Developed Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers.md,"What is the difference between a ""Hosted and Maintained"" image and one that is ""Developed But Not Maintained""?"
RIS Developed Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers.md,My application isn't on this list. Can I request a new container to be developed?
THPC Installed Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\THPC Installed Applications.md,What should I do if the software I need isn't on this list?
THPC Installed Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\THPC Installed Applications.md,What does the asterisk (*) next to some application names mean?
THPC Installed Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\THPC Installed Applications.md,How do I run or load one of these listed applications?
AFNI_TORTOISE.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AFNI_TORTOISE.md,Can I use the AFNI graphical user interface (GUI) with this container?
AFNI_TORTOISE.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AFNI_TORTOISE.md,"Do I need to perform the ""Initial Setup"" every time I want to run a job?"
AFNI_TORTOISE.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AFNI_TORTOISE.md,How can I run a script as a non-interactive batch job?
AlphaFold.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AlphaFold.md,How do I modify the example command to use the full database (`full_dbs`) or predict a multimer model?
AlphaFold.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AlphaFold.md,The example requests 8 CPUs and 8GB of memory. How do I determine the appropriate resource allocation for my specific protein?
AlphaFold.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\AlphaFold.md,How do I correctly set the input (`--fasta_paths`) and output (`--output_dir`) paths for my job?
cisTEM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\cisTEM.md,"For the PASSWORD environment variable, should I set my own password or use the literal word ""password""?"
cisTEM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\cisTEM.md,"After launching the job in Open On Demand, where do I run the `cisTEM` command to start the software?"
cisTEM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\cisTEM.md,"The document provides the Docker image location under the ""Dockerfile"" heading. Where can I find the actual Dockerfile used to build this image?"
fsl6.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\fsl6.md,What is the difference between the `fsl6` and `fsl6_min` Docker images?
fsl6.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\fsl6.md,How do I access my data files from within the FSL container?
fsl6.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\fsl6.md,Can you provide a complete example of a non-interactive command to run an FSL tool like BET on a file?
Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus CLI.md,Why am I getting a `PermissionError` when I try to run a Globus command?
Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus CLI.md,Do I need to keep my interactive job running while my files are transferring?
Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus CLI.md,How do I correctly start an interactive job with this container and ensure my environment variables are set properly?
Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus Connect Personal.md,What should I do if I forgot which compute node I ran the initial setup on?
Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus Connect Personal.md,"How do I make multiple directories accessible to Globus, not just the single one in the example?"
Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Globus Connect Personal.md,"Must I always run the client on the exact same compute node that I used for the initial setup, and what if that node is unavailable?"
Huygens.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Huygens.md,How do I configure Huygens to use my license file and avoid running in freeware mode?
Huygens.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Huygens.md,How do I access my own image files from within the Huygens application?
Huygens.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Huygens.md,Can I run the command-line version (hucore) as a non-interactive batch job?
IBM Aspera.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\IBM Aspera.md,"Where do I get the ""Provided Password"" and the `aspera_key` file?"
IBM Aspera.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\IBM Aspera.md,The example `ascp` command appears to be for uploading a file. How would I modify this to download a file instead?
IBM Aspera.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\IBM Aspera.md,Can you provide an example of a script to transfer multiple files in a loop?
Integrative Genomics Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Integrative Genomics Viewer.md,"In the `bsub` command, what should I use for the `location-of-docker-image`?"
Integrative Genomics Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Integrative Genomics Viewer.md,How can I modify the Dockerfile to use a different version of IGV?
Integrative Genomics Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Integrative Genomics Viewer.md,My `bsub` command is failing with an error about user groups. What should I do?
Intel® Compiler Base.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Intel® Compiler Base.md,"Why can't I find the Intel compilers (e.g., `icc`, `ifx`, `ifort`) after starting an interactive session?"
Intel® Compiler Base.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Intel® Compiler Base.md,What are the main advantages of using a multi-stage build over a single-stage build for my application?
Intel® Compiler Base.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Intel® Compiler Base.md,"My application compiled successfully, but when I run the final multi-stage image, I get a ""shared library not found"" error. What should I check?"
MATLAB.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\MATLAB.md,How can I load a specific version of MATLAB?
MATLAB.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\MATLAB.md,What is the difference between launching MATLAB via the `Matlab` application versus the `Compute RIS Desktop` application?
MATLAB.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\MATLAB.md,Do I need to know Docker to follow the Quick Start instructions for an interactive session?
Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Nextflow.md,"My command-line job is failing with a ""file not found"" error. How do I correctly set the `LSF_DOCKER_VOLUMES` variable for my project?"
Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Nextflow.md,"In the example config file, what do I need to change in the `clusterOptions` line to run jobs using my own compute group?"
Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Nextflow.md,"The example config file shows `docker(quay.io/...)`. Can I use a pipeline that pulls its containers from a different repository, like Docker Hub?"
noVNC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\noVNC.md,How do I install my own software into this environment?
noVNC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\noVNC.md,"The document shows `PASSWORD=password`. Should I use the literal word 'password', or can I set my own?"
noVNC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\noVNC.md,"What is the difference between the `runtime` and `devel` CUDA image tags, and which one should I choose?"
Parabricks.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parabricks.md,How do I determine the correct number of cores and amount of memory to request for my job?
Parabricks.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parabricks.md,"How do I apply the fix for the `NVIDIA_VISIBLE_DEVICES` issue mentioned in the ""Known Issues"" section?"
Parabricks.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parabricks.md,"What are the available `pbrun` commands, and where can I find details on their specific options?"
Parallel Tar.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parallel Tar.md,How should I choose the number of cores to request with `-n` and does it need to match the number of threads (`-t`)?
Parallel Tar.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parallel Tar.md,How can I set a custom name for the output archive instead of the default?
Parallel Tar.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Parallel Tar.md,"After creating the archive, what command do I use to extract its contents?"
RELION.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RELION.md,The document lists two different Docker image paths. Which one should I use?
RELION.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RELION.md,"For the PASSWORD environment variable, should I replace 'password' with my own password?"
RELION.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RELION.md,How do I access my data files once the interactive session has started?
RFdiffusion.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RFdiffusion.md,How do I access the pre-downloaded RFdiffusion models for my job?
RFdiffusion.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RFdiffusion.md,What specific fields in the example `bsub` command must I change for my own analysis?
RFdiffusion.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RFdiffusion.md,Why is my job failing if the only thing I've configured is the path to the provided models?
RoseTTAFold All-Atom.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RoseTTAFold All-Atom.md,How do I configure the YAML file if I only have a protein sequence and no small molecule?
RoseTTAFold All-Atom.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RoseTTAFold All-Atom.md,How much memory and how many CPU slots should I request for my job?
RoseTTAFold All-Atom.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\RoseTTAFold All-Atom.md,"My job is failing with a ""file not found"" error, but I've set the `INPUT_PATH`. What else do I need to check?"
Rstudio.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Rstudio.md,How do I install R packages so they are saved permanently and I don't have to reinstall them every time I start a new session?
Rstudio.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Rstudio.md,"I tried to install a package and it failed because of a missing system dependency, like `libcurl` or `libssl`. How do I fix this?"
Rstudio.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Rstudio.md,"What is the difference between launching RStudio through the ""RStudio"" interactive app versus the ""Custom noVNC Image"" app in Open On Demand?"
SAS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\SAS.md,What is the difference between launching SAS through the dedicated `SAS` application versus the `Compute RIS Desktop`?
SAS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\SAS.md,The document shows how to list available SAS versions; how do I load a specific version instead of the default?
SAS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\SAS.md,How do I run a SAS program as a non-interactive batch job?
Stata.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Stata.md,"I only have a serial number and activation key from Stata, not a `stata.lic` file. How do I create the license file needed to run a job?"
Stata.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Stata.md,What specific values do I need to enter in Open On Demand to launch a Stata GUI session?
Stata.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Stata.md,I have licenses for multiple versions of Stata. How do I make sure my job uses the correct one?
TensorFlow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\TensorFlow.md,How do I use my own custom-built TensorFlow image in an interactive session?
TensorFlow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\TensorFlow.md,Can I install more Python packages temporarily without having to build a new Docker image?
TensorFlow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\TensorFlow.md,What if I need a version of TensorFlow that isn't listed as available?
THPC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\THPC.md,The software I need is not available as a module. How can I install or request it?
THPC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\THPC.md,How do I find out which `THPC_BUILD` versions are available and compatible with the hardware I want to use?
THPC.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\THPC.md,What is the simplest way to start a THPC session if I'm not familiar with all the command-line options?
Web Development Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Web Development Container.md,What value should I use for `location-of-docker-image` in the `bsub` command?
Web Development Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Web Development Container.md,"How can I set a password for the MariaDB 'root' user, since it has no password by default?"
Web Development Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute1 Applications\RIS Developed Containers\Web Development Container.md,My website files are not in the example path. How do I correctly set the `LSF_DOCKER_VOLUMES` variable to point to my own project directory?
Compute2 Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Nextflow.md,How do I find my `allocation_name` for the scratch directory path?
Compute2 Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Nextflow.md,The guide says to run Nextflow inside a job. What would an example SLURM submission script look like?
Compute2 Nextflow.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Nextflow.md,Can I use a different pipeline besides the `nf-core/rnaseq` example?
Compute2 Podman.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Podman.md,Why is my home2 directory filling up when I use Podman?
Compute2 Podman.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Podman.md,What happens to my container images and the Podman VM after my SLURM job ends?
Compute2 Podman.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications\Compute2 Applications\Compute2 Podman.md,Do I need to run `podman machine init` and `podman machine start` every time I begin a new SLURM session?
Nvidia Workshop - September 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\Nvidia Workshop - September 2020.md,"The workshop is over, how can I run a similar GPU job now?"
Nvidia Workshop - September 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\Nvidia Workshop - September 2020.md,How do I choose a port number for the JPORT variable?
Nvidia Workshop - September 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\Nvidia Workshop - September 2020.md,"I ran the command successfully, but I'm not on campus or the VPN. How do I connect to my session?"
RIS Compute Seminars from April 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars from April 2020.md,Are more recent versions of these seminars or any upcoming live workshops available?
RIS Compute Seminars from April 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars from April 2020.md,Are the presentation slides or code examples from these seminars available for download?
RIS Compute Seminars from April 2020.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars from April 2020.md,Is there a recommended order to watch these seminars for a beginner?
RIS Compute Seminars From Fall 2021.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars From Fall 2021.md,"Will these workshops be offered again, and where can I find the schedule for upcoming sessions?"
RIS Compute Seminars From Fall 2021.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars From Fall 2021.md,Is there a recommended order to view these workshops for someone new to the RIS platform?
RIS Compute Seminars From Fall 2021.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops\RIS Compute Seminars From Fall 2021.md,I've watched a recording but still have questions about my own project. Where can I get further assistance?
Access Storage Volumes.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Access Storage Volumes.md,My job can't find my data files in /storage1 or /scratch1. How do I make them available to my job?
Access Storage Volumes.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Access Storage Volumes.md,"I just finished a job that wrote files to my /storage1 directory, but I don't see the new files when I connect from my computer. Where are they?"
Access Storage Volumes.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Access Storage Volumes.md,"What is the difference between scratch space and storage space, and when should I use each one?"
Compute1 Condo and Subscription Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Condo and Subscription Queues.md,Why did my job fail with an error that my user group does not match the queue type?
Compute1 Condo and Subscription Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Condo and Subscription Queues.md,"How do I find the correct group name, condo name, or SLA name for my account?"
Compute1 Condo and Subscription Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Condo and Subscription Queues.md,What happens if I submit a job to the subscription queue but request more CPUs or GPUs than my tier provides?
Compute1 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Quickstart.md,I only want to use the web-based Open On Demand (OOD). Do I still need to connect via SSH first?
Compute1 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Quickstart.md,"I'm trying to start an application in OOD, but I'm confused by the ""Mounts"" field. How do I find my storage allocation name and which `storageN` platform should I use?"
Compute1 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Compute1 Quickstart.md,The application I need isn't listed on the Open On Demand main page. How can I see a full list of all available software?
Create Custom Conda Environment.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Create Custom Conda Environment.md,How do I use my custom Conda environment in a non-interactive batch script?
Create Custom Conda Environment.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Create Custom Conda Environment.md,My interactive session ended and now my Conda environment is gone. What went wrong?
